"WordCount","SentimentGI","NegativityGI","PositivityGI","SentimentHE","NegativityHE","PositivityHE","SentimentLM","NegativityLM","PositivityLM","RatioUncertaintyLM","SentimentQDAP","NegativityQDAP","PositivityQDAP"
23,0.130434782608696,0.0869565217391304,0.217391304347826,0,0,0,-0.0434782608695652,0.0434782608695652,0,0,0,0.130434782608696,0.130434782608696
5,0.2,0,0.2,0,0,0,0,0,0,0,0.2,0,0.2
28,0.0714285714285714,0.0357142857142857,0.107142857142857,0,0,0,0,0,0,0,0.0357142857142857,0.0357142857142857,0.0714285714285714
24,0.333333333333333,0.0416666666666667,0.375,0,0,0,-0.0416666666666667,0.0416666666666667,0,0,0.208333333333333,0,0.208333333333333
34,0.205882352941176,0.0588235294117647,0.264705882352941,0.0294117647058824,0,0.0294117647058824,-0.0294117647058824,0.0588235294117647,0.0294117647058824,0,0.117647058823529,0.0882352941176471,0.205882352941176
26,0.0769230769230769,0.0769230769230769,0.153846153846154,0.0384615384615385,0,0.0384615384615385,-0.0384615384615385,0.0384615384615385,0,0,0.115384615384615,0.0769230769230769,0.192307692307692
27,0.0740740740740741,0.037037037037037,0.111111111111111,0,0,0,0.037037037037037,0,0.037037037037037,0,0.0740740740740741,0.037037037037037,0.111111111111111
4,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.285714285714286,0,0.285714285714286,0.142857142857143,0,0.142857142857143,0.142857142857143,0,0.142857142857143,0,0.142857142857143,0,0.142857142857143
24,0.0416666666666667,0.125,0.166666666666667,0,0,0,0,0.0416666666666667,0.0416666666666667,0,0,0.0833333333333333,0.0833333333333333
19,0.105263157894737,0,0.105263157894737,0,0,0,0.0526315789473684,0,0.0526315789473684,0,0.0526315789473684,0,0.0526315789473684
20,-0.1,0.25,0.15,0,0,0,-0.15,0.15,0,0,0.05,0.1,0.15
20,0.2,0.05,0.25,0,0,0,-0.05,0.05,0,0.05,0.05,0.05,0.1
27,0,0.222222222222222,0.222222222222222,0,0,0,-0.037037037037037,0.037037037037037,0,0,0.0740740740740741,0.0740740740740741,0.148148148148148
6,0.333333333333333,0,0.333333333333333,0.166666666666667,0,0.166666666666667,0.166666666666667,0,0.166666666666667,0,0.333333333333333,0,0.333333333333333
23,0.347826086956522,0.130434782608696,0.478260869565217,-0.0434782608695652,0.0434782608695652,0,-0.0869565217391304,0.0869565217391304,0,0,0.434782608695652,0,0.434782608695652
19,0.210526315789474,0.0526315789473684,0.263157894736842,0,0,0,-0.105263157894737,0.105263157894737,0,0,0.157894736842105,0.0526315789473684,0.210526315789474
20,0.05,0,0.05,0,0,0,0,0,0,0,0.05,0,0.05
27,-0.0740740740740741,0.0740740740740741,0,0,0,0,0,0,0,0,-0.0740740740740741,0.0740740740740741,0
