,Title,Source,URL
0,Composer explores legacy of computer pioneer Ada Lovelace and using AI for musical composition,Stanford Report,https://news.google.com/articles/CBMifWh0dHBzOi8vZ2VuZGVyLnN0YW5mb3JkLmVkdS9uZXdzLXB1YmxpY2F0aW9ucy9nZW5kZXItbmV3cy9jb21wb3Nlci1leHBsb3Jlcy1sZWdhY3ktY29tcHV0ZXItcGlvbmVlci1hZGEtbG92ZWxhY2UtYW5kLXVzaW5nLWFp0gEA?hl=en-US&gl=US&ceid=US%3Aen
1,Can Machines And Artificial Intelligence Be Creative?,Forbes,https://news.google.com/articles/CAIiEERWkNGhGayNxMTQ2y_Gx2wqFQgEKg0IACoGCAowrqkBMKBFMMGBAg?hl=en-US&gl=US&ceid=US%3Aen
2,Will Artificial Intelligence Replace Human Musicians?,Consequence of Sound,https://news.google.com/articles/CAIiEEkf1ph8FqqB-s-GMDAEm3AqFwgEKg8IACoHCAowlPHSATCqjTUwxOdy?hl=en-US&gl=US&ceid=US%3Aen
3,"Meet Travis Bott, the Travis Scott twin whose music and lyrics were created with AI",Fast Company,https://news.google.com/articles/CBMid2h0dHBzOi8vd3d3LmZhc3Rjb21wYW55LmNvbS85MDQ2NDA2Mi9tZWV0LXRyYXZpcy1ib3R0LXRoZS10cmF2aXMtc2NvdHQtdHdpbi13aG9zZS1tdXNpYy1hbmQtbHlyaWNzLXdlcmUtY3JlYXRlZC13aXRoLWFp0gEA?hl=en-US&gl=US&ceid=US%3Aen
4,The Australian Institute for Machine Learning & Sia Furler Institute at the University of Adelaide Shape Future of AI & Art Through MURMUR: World’s First AI Art Exhibit,MarTech Series,https://news.google.com/articles/CBMizAFodHRwczovL21hcnRlY2hzZXJpZXMuY29tL3ByZWRpY3RpdmUtYWkvYWktcGxhdGZvcm1zLW1hY2hpbmUtbGVhcm5pbmcvYXVzdHJhbGlhbi1pbnN0aXR1dGUtbWFjaGluZS1sZWFybmluZy1zaWEtZnVybGVyLWluc3RpdHV0ZS11bml2ZXJzaXR5LWFkZWxhaWRlLXNoYXBlLWZ1dHVyZS1haS1hcnQtbXVybXVyLXdvcmxkcy1maXJzdC1haS1hcnQtZXhoaWJpdC_SAdABaHR0cHM6Ly9tYXJ0ZWNoc2VyaWVzLmNvbS9hbXAvcHJlZGljdGl2ZS1haS9haS1wbGF0Zm9ybXMtbWFjaGluZS1sZWFybmluZy9hdXN0cmFsaWFuLWluc3RpdHV0ZS1tYWNoaW5lLWxlYXJuaW5nLXNpYS1mdXJsZXItaW5zdGl0dXRlLXVuaXZlcnNpdHktYWRlbGFpZGUtc2hhcGUtZnV0dXJlLWFpLWFydC1tdXJtdXItd29ybGRzLWZpcnN0LWFpLWFydC1leGhpYml0Lw?hl=en-US&gl=US&ceid=US%3Aen
5,Your Favorite Musicians Will Soon Be … Robots,OZY,https://news.google.com/articles/CAIiEP-kklYmbXEtYKZtEy81o1AqGQgEKhAIACoHCAowy4j7CjCUjPMCMP_zxwU?hl=en-US&gl=US&ceid=US%3Aen
6,Why the royalty-free music space is the perfect niche for AI,Netimperative,https://news.google.com/articles/CBMiYmh0dHA6Ly93d3cubmV0aW1wZXJhdGl2ZS5jb20vMjAyMC8wMi93aHktdGhlLXJveWFsdHktZnJlZS1tdXNpYy1zcGFjZS1pcy10aGUtcGVyZmVjdC1uaWNoZS1mb3ItYWkv0gEA?hl=en-US&gl=US&ceid=US%3Aen
7,Can AI Compose Good Music?,Bloomberg,https://news.google.com/articles/CAIiELd-akoJdQYYa6Ipg_xatFYqGQgEKhAIACoHCAow4uzwCjCF3bsCMNGAygM?hl=en-US&gl=US&ceid=US%3Aen
8,Meet the students co-creating art with artificial intelligence,Mustang News,https://news.google.com/articles/CBMiV2h0dHBzOi8vbXVzdGFuZ25ld3MubmV0L21lZXQtdGhlLXN0dWRlbnRzLWNvLWNyZWF0aW5nLWFydC13aXRoLWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
9,Kena.AI launches best in class Artificial-Intelligence based piano music transcription.,EIN News,https://news.google.com/articles/CBMigAFodHRwczovL3d3dy5laW5uZXdzLmNvbS9wcl9uZXdzLzUxMTc3MjQ2OC9rZW5hLWFpLWxhdW5jaGVzLWJlc3QtaW4tY2xhc3MtYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtYmFzZWQtcGlhbm8tbXVzaWMtdHJhbnNjcmlwdGlvbtIBhAFodHRwczovL3d3dy5laW5uZXdzLmNvbS9hbXAvcHJfbmV3cy81MTE3NzI0Njgva2VuYS1haS1sYXVuY2hlcy1iZXN0LWluLWNsYXNzLWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWJhc2VkLXBpYW5vLW11c2ljLXRyYW5zY3JpcHRpb24?hl=en-US&gl=US&ceid=US%3Aen
